Day,Theme,Exercise_Title,Description_EN,Overview_YO,Overview_HA,Overview_IG
1,Breathing,The Balloon (Inner Peace Time),"Imagine your belly is a balloon. Breathe in to blow it up, breathe out to let it go.","Gba èémí sínú láti fẹ́ fúfú ní inú rẹ, rọra jẹ́ kí ó jáde.","Ka yi tunani kamar cikinka balloon ne. Shaka iska ka hura shi, sannan ka fuzgar da iskar.","Chee na afọ gị bụ baluun. Kuru ume ka ị fụọ ya, kupụ ya rọrọ rọrọ."
2,Stillness,The Mountain,"Sit as still as a mountain. Storms may come, but the mountain does not move.","Jókòó jẹ́ẹ́ bí òkè. Ìjì lè jà, ṣùgbọ́n òkè kò ní mì.","Zauna shiru kamar dutse. Ko hadari ya zo, dutse ba ya motsi.","Nyere ọtọ n'uju ka ugwu. Oké ifufe nwere ike ibilite, mana ugwu anaghị emegharị."
3,Kindness,Heart Sending,Think of someone you love and send them a 'silent wish' for happiness.,"Ronú nípa ẹni tí o fẹ́ràn, kí o sì ránsẹ́ ìfẹ́ dídákẹ́ fún ayọ̀ wọn.","Yi tunanin wanda kake so, ka aika masa da fatan alheri a zuciyarka.","Chee echiche banyere onye ị hụrụ n'anya, zigara ha mmasị dị jụụ maka obi ụtọ."
4,Listening,Sound Safari,Close your eyes. List 3 sounds you can hear right now that you usually ignore.,Pa ojú rẹ dé. Sọ àwọn ìró mẹ́ta tí o lè gbọ́ nísìnyìí.,Rufe idanunka. Ka lissafa sauti guda 3 da kake ji yanzu waɗanda ba ka damu da su ba.,Mechie anya gị. Kwuo ụda atọ ị na-anụ ugbu a ị na-anaghị ege ntị na mbụ.
5,Gratitude,The Thankful Tree,Think of one thing that happened today that made you smile.,Ronú nípa nǹkan kan tó ṣẹlẹ̀ lónìí tó mú kí o rẹ́rìn-ín.,Ka yi tunanin abu guda daya da ya faru yau wanda ya sa ka farin ciki.,Chee echiche banyere otu ihe mere taa mere ka ị mụmụọ ọnụ ọchị.
6,Body Awareness,The Jellyfish,"Wiggle your toes, then your legs, then your whole body. Then become completely still.","Mi ọmọ ẹsẹ̀ rẹ, lẹ́yìn náà ẹsẹ̀ rẹ, àti gbogbo ara rẹ. Lẹ́yìn náà jókòó jẹ́ẹ́.","Motsa yatsun kafarka, sannan kafafunka, sannan dukkan jikinka. Sannan ka tsaya cak.","Megharịa mkpịsị ụkwụ gị, ụkwụ gị, na ahụ gị niile. Mgbe ahụ, nyere ọtọ n'uju."
7,Focus,The Candle Flame,Imagine a tiny candle flame at the center of your body. Keep your focus there.,Sọ fojú inú wo iná fìtílà kékeré kan ní àárín ara rẹ. Pa ọkàn rẹ pọ̀ síbẹ̀.,Yi tunanin hasken kyandir a tsakiyar jikinka. Ka mayar da hankalinka can.,Chee echiche banyere ọkụ kandụl dị n'etiti ahụ gị. Lekwasị anya n'ebe ahụ.
8,Patience,Waiting for the Seed,Imagine you planted a seed. You cannot hurry it; you must wait for it to grow.,Fojú inú wo pé o gbin irúgbìn kan. O kò lè kánjú mọ́ ọn; o gbọ́dọ̀ dúró kí ó dàgbà.,Yi tunanin ka shuka iri. Ba za ka iya hanzarta shi ba; dole ka jira ya girma.,Chee echiche na ị kụrụ mkpụrụ. I nweghị ike ịme ka ọ gbapụta ọsọ ọsọ; ị ga-echere ka ọ too.
9,Compassion,The Big Hug,Give yourself a hug. Now imagine hugging the whole world with peace.,Gbá ara rẹ mọ́ra. Nísìnyìí fojú inú wo bí o ṣe ń gbá gbogbo ayé mọ́ra pẹ̀lú àlàáfíà.,Ka rungume kanka. Sannan ka yi tunanin rungume dukkan duniya cikin zaman lafiya.,Makụọ onwe gị. Ugbu a chee echiche ịmakụ ụwa niile n'udo.
10,Reflection,"Peace In, Peace Out",Breathe in peace for yourself. Breathe out peace for your friends and family.,Gba àlàáfíà sínú fún ara rẹ. Jẹ́ kí àlàáfíà jáde fún àwọn ọ̀rẹ́ àti ẹbí rẹ.,Shaka zaman lafiya don kanka. Fuzgar da zaman lafiya don abokanka da iyalanka.,Kuru ume udo maka onwe gị. Kupụ udo maka ndị enyi gị na ezinụlọ gị.
