ID,Goal,Icon,Overview_EN,Overview_YO,Overview_HA,Overview_IG
SDG_01,No Poverty,sdg_01.png,Helping everyone have enough money for food and a home.,Láti ran gbogbo ènìyàn lọ́wọ́ láti ní owó tó tó fún oúnjẹ àti ilé.,Taimaka wa kowa ya sami isasshen kudi na abinci da gida.,Inyere onye ọ bụla aka nwee ego zuru oke maka nri na ebe obibi.
SDG_02,Zero Hunger,sdg_02.png,Making sure no child goes to bed hungry.,Jíjẹ́ kí á mọ̀ pé kò sí ọmọ kankan tí yóò sùn pẹ̀lú ebi.,Tabbatar da cewa babu yaron da zai kwanta da yunwa.,Ime ka ọ ghara nwee nwa ga-arahụ ụra n'agụụ.
SDG_03,Good Health and Well-being,sdg_03.png,Keeping our bodies strong and visiting doctors when sick.,Sísọ ara wa di dídá àti bíbẹ àwọn dókítà wò nígbà tí a bá ń ṣàìsàn.,Kula da lafiyar jikinmu da ziyartar likitoci idan ba mu da lafiya.,Idebe ahụ anyị ọcha na ịga hụ dọkịta ma ọ bụrụ na anyị ana-arịa ọrịa.
SDG_04,Quality Education,sdg_04.png,Helping every child go to school and learn new things.,Láti ran gbogbo ọmọ lọ́wọ́ láti lọ sí ilé-ìwé àti kọ́ àwọn nǹkan tuntun.,Taimaka wa kowane yaro ya tafi makaranta ya koyi sabbin abubuwa.,Inyere nwatakịrị ọ bụla aka ịga akwụkwọ na ịmụ ihe ọhụrụ.
SDG_05,Gender Equality,sdg_05.png,Boys and girls should have the same chances to lead.,Àwọn ọmọkùnrin àti ọmọbìnrin yóò ní àǹfààní kan náà láti jẹ́ olórí.,Yara maza da mata ya kamata su sami dama iri daya na jagoranci.,Ụmụ nwoke na ụmụ nwanyị kwesịrị inwe ohere nha anya ịbụ ndị ndu.
SDG_06,Clean Water and Sanitation,sdg_06.png,Making sure everyone has clean water to drink and wash.,Jíjẹ́ kí á mọ̀ pé gbogbo ènìyàn ní omi mímọ́ láti mu àti láti fọṣọ.,Tabbatar kowa yana da tsaftataccen ruwan sha da na wanka.,Ime ka onye ọ bụla nwee mmiri dị ọcha ọ ga-aṅụ na nke ọ ga-eji asachapụ ihe.
SDG_07,Affordable and Clean Energy,sdg_07.png,Using power from the sun and wind that does not hurt the earth.,Lílo agbára láti ọ̀dọ̀ oòrùn àti afẹ́fẹ́ tí kò ní pa ayé lára.,Yin amfani da wutar lantarki daga rana da iska wacce ba ta cutar da duniya.,Iji ike sitere n'anyanwụ na ikuku nke na-adịghị emerụ ụwa ahụ.
SDG_08,Decent Work and Economic Growth,sdg_08.png,Helping grown-ups find good jobs to take care of their families.,Láti ran àwọn àgbàlagbà lọ́wọ́ láti rí iṣẹ́ gidi láti tọ́jú ẹbí wọn.,Taimaka wa manya su sami ayyuka nagari don kula da iyalansu.,Inyere ndị okenye aka ịchọta ezigbo ọrụ ha ga-eji na-elekọta ezinụlọ ha.
SDG_09,"Industry, Innovation and Infrastructure",sdg_09.png,"Building better roads, bridges, and smart tools for everyone.","Kíkọ́ àwọn ojú ọ̀nà tó dára, afárá, àti àwọn ohun èlò ọlọ́gbọ́n fún gbogbo ènìyàn.","Gina hanyoyi masu kyau, gadoji, da kayan aiki masu kyau ga kowa.","Ịrụ ezigbo ụzọ, àmì, na ngwa ọrụ dị mma maka onye ọ bụla."
SDG_10,Reduced Inequality,sdg_10.png,"Treating everyone fairly, no matter who they are or where they live.","Láti tọ́jú gbogbo ènìyàn lọ́gbọọgba, láìka ẹni tí wọ́n jẹ́ tàbí ibi tí wọ́n ń gbé sí.","Bi da kowa cikin adalci, ko su wanene ko kuma a ina suke zaune.","Imeso onye ọ bụla n'ụzọ ziri ezi, n'agbanyeghị onye ha bụ ma ọ bụ ebe ha bi."
SDG_11,Sustainable Cities and Communities,sdg_11.png,"Making our towns safe, green, and beautiful for children.","Sísọ àwọn ìlú wa di dídá, títura, àti dídára fún àwọn ọmọdé.",Sa garuruwanmu su kasance lafiyayyu da kyau ga yara.,"Ime ka obodo anyị nwee nchebe, ahịhịa ndụ, ma maa mma maka ụmụaka."
SDG_12,Responsible Consumption and Production,sdg_12.png,Using things wisely and not wasting food or plastic.,Lílo àwọn nǹkan pẹ̀lú ọgbọ́n àti láìfòfò oúnjẹ tàbí ike ṣòfò.,Yin amfani da abubuwa cikin hikima ba tare da ɓata abinci ko roba ba.,Iji ihe eme ihe n'ụzọ amamihe na ịghara imefu nri ma ọ bụ rọba.
SDG_13,Climate Action,sdg_13.png,Taking care of our planet to stop it from getting too hot.,Títọ́jú ayé wa láti dènà rẹ̀ láti má bàa gbóná jù.,Kula da duniyarmu don hana ta yin zafi sosai.,Ilekọta ụwa anyị iji gbochie ya ịdị oke ọkụ.
SDG_14,Life Below Water,sdg_14.png,Protecting fish and sea animals in our big oceans.,Dídáàbò bo àwọn ẹja àti àwọn ẹranko inú òkun nínú àwọn òkun ńlá wa.,Kiyaye kifi da sauran dabbobin ruwa a cikin manyan tekuna.,Ichebe azụ na anụmanụ ndị dị n'ime oke osimiri anyị.
SDG_15,Life on Land,sdg_15.png,"Taking care of forests, plants, and all animals on land.","Títọ́jú àwọn igbó, ohun ọ̀gbìn, àti gbogbo ẹranko lórí ilẹ̀.","Kula da gandun daji, shuke-shuke, da dukkan dabbobi a doron ƙasa.","Ilekọta oke ọhịa, osisi, na anụmanụ niile nọ n'ala."
SDG_16,"Peace, Justice and Strong Institutions",sdg_16.png,Living in peace and making sure everyone follows fair rules.,Gbigbe ní àlàáfíà àti rírí i pé gbogbo ènìyàn ń tẹ̀lé òfin tó tọ́.,Zama cikin lafiya da tabbatar da kowa yana bin dokoki masu kyau.,Ibi n'udo na ime ka onye ọ bụla soro iwu ziri ezi.
SDG_17,Partnerships for the Goals,sdg_17.png,Working together with other countries to reach these goals.,Ṣiṣẹ́ pọ̀ pẹ̀lú àwọn orílẹ̀-èdè mìíràn láti ṣàṣeyọrí àwọn góńgó yìí.,Yin aiki tare da sauran ƙasashe don cimma waɗannan manufofi.,Isoro mba ndị ọzọ rụọ ọrụ iji nweta ebumnuche ndị a.
