ID,Category,Question_EN,Question_YO,Question_HA,Question_IG,Answer
RT_001,Geography,Which is the longest river in Africa?,Odò wo ni ó gùn jù lọ ní Áfíríkà?,Wane kogi ne mafi tsawo a Afirka?,Kedu iyi kachasị ogologo n'Afrịka?,River Nile
RT_002,Nature,Which animal is known to never sleep?,Ẹranko wo ni a mọ̀ pé kì í sùn?,Wace dabba ce aka sani ba ta taba barci?,Kedu anụmanụ a maara na ọ naghị arahụ ụra?,Bullfrog
RT_003,Space,Which planet is closest to the Sun?,Púlánẹ́ẹ̀tì wo ló sún mọ́ oòrùn jù lọ?,Wace duniya ce tafi kusa da rana?,Kedu planet kachasị anyanwụ nso?,Mercury
RT_004,Africa,In which country can you find the Pyramids of Giza?,Orílẹ̀-èdè wo ni a ti lè rí àwọn Pírámídì ti Giza?,A wace ƙasa ce za a iya samun firamidun Giza?,Kedu obodo ị ga-ahụ Pyramids of Giza?,Egypt
RT_005,Nature,What is the only mammal that can truly fly?,Ẹranko afọ́mọ́lọ́mú wo ni ó lè fò nìkan?,Wace dabba mai shayarwa ce kawai take iya tashi?,Kedu anụmanụ na-enye nwa ara na-efe efe?,Bat
RT_006,Science,What gas do plants release that humans need to breathe?,Afẹ́fẹ́ wo ni àwọn igbó ń sọ̀ sínú tí ènìyàn nílò láti mí?,Wace iska ce shuke-shuke suke fitarwa wadda mutane suke buƙata?,Kedu ikuku osisi na-emepụta nke ụmụ mmadụ chọrọ?,Oxygen
RT_007,History,Who was the first woman to win a Nobel Prize?,Obìnrin wo ni ó kọ́kọ́ gba ẹ̀bùn Nobel?,Wace mace ce ta fara samun kyautar Nobel?,Kedu nwaanyị mbụ meriri Nobel Prize?,Marie Curie
RT_008,Geography,Which is the largest ocean on Earth?,Òkun wo ló tóbi jù lọ lágbàáyé?,Wane teku ne mafi girma a duniya?,Kedu oke osimiri kachasị ukwuu n'ụwa?,Pacific Ocean
RT_009,Nature,How many legs does a mosquito have?,Ẹsẹ̀ mélòó ni ẹ̀fọn ní?,Ƙafafu nawa sauro yake da shi?,Ụkwụ ole ka anwụnta nwere?,6
RT_010,Body,What is the largest organ of the human body?,Ẹ̀yà ara wo ni ó tóbi jù lọ nínú ara ènìyàn?,Wace gaba ce tafi girma a jikin dan adam?,Kedu akụkụ ahụ kachasị ukwuu n'ahụ mmadụ?,Skin
RT_011,Geography,Which African country has the largest population?,Orílẹ̀-èdè Áfíríkà wo ni ó ní ènìyàn jù lọ?,Wace ƙasa ce a Afirka tafi kowace yawan jama'a?,Kedu obodo dị n'Afrịka nwere mmadụ kachasị?,Nigeria
RT_012,Space,How many moons does the planet Mars have?,Oṣù mélòó ni púlánẹ́ẹ̀tì Mars ní?,Duniyar Mars tana da wata nawa?,Ọnwa ole ka Mars nwere?,2
RT_013,Tech,Who is the inventor of the light bulb?,Ta ni ẹni tó kọ́kọ́ ṣe gílóòbù iná?,Waye ya kera kwan fitila na lantarki?,Onye mepụtara bọlbụ ọkụ?,Thomas Edison
RT_014,Nature,Which sea creature has three hearts?,Ẹranko inú òkun wo ni ó ní ọkàn mẹ́ta?,Wace dabbar teku ce take da zuciya uku?,Kedu anụmanụ bi na mmiri nwere obi atọ?,Octopus
